x y z radius
4.850399 3.104256 0.242520 0.048504 
5.141423 1.746144 0.242520 0.068595 
5.238431 1.552128 0.242520 0.108458 
5.335439 2.328192 0.242520 0.068595 
5.383943 2.279688 0.242520 0.048504 
5.383943 3.637800 0.242520 0.048504 
5.432447 2.910240 0.242520 0.048504 
5.432447 3.152760 0.242520 0.084011 
5.480951 1.891656 0.242520 0.068595 
5.674967 3.055752 0.242520 0.048504 
5.723471 2.376696 0.242520 0.048504 
5.723471 3.104256 0.242520 0.048504 
5.771975 1.503624 0.242520 0.048504 
5.820479 2.522208 0.242520 0.048504 
5.868983 3.831816 0.242520 0.048504 
6.160007 2.037168 0.242520 0.048504 
6.208511 2.473704 0.242520 0.048504 
6.402527 2.764728 0.242520 0.048504 
6.548039 3.492288 0.242520 0.048504 
6.790559 2.958744 0.242520 0.084011 
7.130087 1.697640 0.242520 0.048504 
7.178591 5.044415 0.242520 0.068595 
7.469615 4.850399 0.242520 0.068595 
7.615127 4.753392 0.242520 0.068595 
8.148671 4.074336 0.242520 0.068595 
8.197175 4.025832 0.242520 0.048504 
8.294183 3.977328 0.242520 0.048504 
8.342687 3.977328 0.242520 0.048504 
8.391191 3.928824 0.242520 0.048504 
8.585207 3.831816 0.242520 0.048504 
4.268352 2.328192 0.291024 0.084011 
4.704888 2.473704 0.291024 0.048504 
4.801895 3.152760 0.291024 0.048504 
4.801895 3.201264 0.291024 0.048504 
4.801895 3.249768 0.291024 0.048504 
4.801895 3.298272 0.291024 0.048504 
4.850399 2.958744 0.291024 0.084011 
4.850399 3.395280 0.291024 0.048504 
4.850399 3.443784 0.291024 0.048504 
5.141423 1.600632 0.291024 0.068595 
5.141423 1.649136 0.291024 0.068595 
5.141423 1.697640 0.291024 0.048504 
5.189927 1.552128 0.291024 0.108458 
5.286935 2.376696 0.291024 0.048504 
5.383943 3.589296 0.291024 0.048504 
5.432447 2.910240 0.291024 0.048504 
5.432447 3.152760 0.291024 0.068595 
5.480951 1.843152 0.291024 0.068595 
5.626463 3.007248 0.291024 0.048504 
5.723471 2.376696 0.291024 0.048504 
5.868983 2.473704 0.291024 0.048504 
5.868983 3.783312 0.291024 0.048504 
6.160007 2.085672 0.291024 0.084011 
6.402527 2.764728 0.291024 0.048504 
6.548039 3.492288 0.291024 0.048504 
6.790559 2.958744 0.291024 0.097008 
7.130087 1.697640 0.291024 0.048504 
7.227095 5.044415 0.291024 0.068595 
7.372607 4.947407 0.291024 0.048504 
7.421111 4.947407 0.291024 0.068595 
7.469615 4.898903 0.291024 0.084011 
8.148671 1.503624 0.291024 0.048504 
8.148671 4.074336 0.291024 0.048504 
8.439695 3.977328 0.291024 0.048504 
8.633711 3.783312 0.291024 0.048504 
8.633711 3.880320 0.291024 0.048504 
4.268352 2.328192 0.339528 0.097008 
4.656384 3.055752 0.339528 0.048504 
4.656384 3.104256 0.339528 0.048504 
4.704888 3.007248 0.339528 0.048504 
4.753392 2.522208 0.339528 0.048504 
4.850399 2.910240 0.339528 0.068595 
4.898903 3.492288 0.339528 0.048504 
4.898903 3.540792 0.339528 0.048504 
5.141423 1.552128 0.339528 0.108458 
5.141423 1.746144 0.339528 0.084011 
5.238431 2.328192 0.339528 0.048504 
5.335439 2.425200 0.339528 0.068595 
5.383943 3.540792 0.339528 0.048504 
5.432447 3.152760 0.339528 0.068595 
5.480951 1.843152 0.339528 0.068595 
5.577959 3.007248 0.339528 0.068595 
5.723471 2.425200 0.339528 0.048504 
5.723471 4.365360 0.339528 0.048504 
5.868983 2.473704 0.339528 0.048504 
5.917487 3.783312 0.339528 0.048504 
6.160007 2.085672 0.339528 0.084011 
6.548039 3.492288 0.339528 0.048504 
6.790559 2.958744 0.339528 0.084011 
7.130087 1.697640 0.339528 0.048504 
7.275599 5.044415 0.339528 0.068595 
7.324103 4.947407 0.339528 0.048504 
7.372607 4.898903 0.339528 0.048504 
7.372607 4.995911 0.339528 0.048504 
7.421111 4.898903 0.339528 0.068595 
7.421111 4.995911 0.339528 0.068595 
7.469615 4.947407 0.339528 0.097008 
7.518119 4.219848 0.339528 0.068595 
8.100167 2.619216 0.339528 0.048504 
8.148671 1.455120 0.339528 0.048504 
8.148671 2.522208 0.339528 0.048504 
8.148671 2.570712 0.339528 0.048504 
8.197175 4.074336 0.339528 0.048504 
8.439695 3.977328 0.339528 0.048504 
8.682215 3.734808 0.339528 0.048504 
8.682215 3.928824 0.339528 0.048504 
8.730719 3.686304 0.339528 0.048504 
4.268352 2.328192 0.388032 0.097008 
4.753392 2.473704 0.388032 0.048504 
4.850399 2.813232 0.388032 0.068595 
4.850399 2.861736 0.388032 0.097008 
5.092919 1.552128 0.388032 0.108458 
5.141423 1.746144 0.388032 0.084011 
5.189927 2.279688 0.388032 0.068595 
5.335439 2.473704 0.388032 0.084011 
5.432447 3.492288 0.388032 0.048504 
5.480951 3.055752 0.388032 0.048504 
5.480951 3.104256 0.388032 0.048504 
5.529455 1.794648 0.388032 0.048504 
5.529455 3.007248 0.388032 0.048504 
5.674967 4.316856 0.388032 0.048504 
5.771975 2.425200 0.388032 0.048504 
5.820479 2.425200 0.388032 0.048504 
5.965991 3.831816 0.388032 0.048504 
6.160007 2.085672 0.388032 0.068595 
6.160007 2.473704 0.388032 0.048504 
6.548039 3.492288 0.388032 0.048504 
6.839063 2.958744 0.388032 0.068595 
7.130087 2.667720 0.388032 0.068595 
7.178591 1.649136 0.388032 0.048504 
7.324103 4.995911 0.388032 0.084011 
7.372607 4.947407 0.388032 0.048504 
7.421111 4.947407 0.388032 0.068595 
7.518119 4.219848 0.388032 0.068595 
8.051663 2.619216 0.388032 0.048504 
8.148671 1.455120 0.388032 0.048504 
8.197175 2.473704 0.388032 0.048504 
8.197175 4.122840 0.388032 0.068595 
8.391191 2.764728 0.388032 0.048504 
8.439695 3.977328 0.388032 0.048504 
8.682215 3.977328 0.388032 0.048504 
4.268352 2.328192 0.436536 0.084011 
4.801895 2.182680 0.436536 0.048504 
4.850399 2.764728 0.436536 0.097008 
4.850399 2.910240 0.436536 0.048504 
4.850399 2.958744 0.436536 0.048504 
4.898903 2.716224 0.436536 0.068595 
5.092919 1.552128 0.436536 0.068595 
5.141423 1.746144 0.436536 0.068595 
5.238431 2.279688 0.436536 0.048504 
5.286935 2.473704 0.436536 0.048504 
5.432447 3.443784 0.436536 0.048504 
5.480951 1.794648 0.436536 0.068595 
5.480951 3.152760 0.436536 0.048504 
5.529455 2.958744 0.436536 0.048504 
5.577959 4.219848 0.436536 0.048504 
5.626463 4.268352 0.436536 0.048504 
5.723471 2.376696 0.436536 0.048504 
5.771975 2.473704 0.436536 0.048504 
5.868983 2.473704 0.436536 0.048504 
5.965991 3.831816 0.436536 0.048504 
6.111503 3.734808 0.436536 0.048504 
6.160007 2.085672 0.436536 0.068595 
6.160007 2.473704 0.436536 0.048504 
6.596543 3.492288 0.436536 0.048504 
6.645047 3.346776 0.436536 0.048504 
6.839063 2.958744 0.436536 0.084011 
7.130087 2.667720 0.436536 0.068595 
7.178591 1.697640 0.436536 0.048504 
7.324103 2.667720 0.436536 0.048504 
7.421111 4.995911 0.436536 0.108458 
7.469615 4.074336 0.436536 0.048504 
7.566623 4.219848 0.436536 0.048504 
8.003159 2.619216 0.436536 0.048504 
8.148671 1.455120 0.436536 0.048504 
8.197175 2.958744 0.436536 0.048504 
8.245679 2.425200 0.436536 0.068595 
8.245679 4.122840 0.436536 0.068595 
8.342687 2.813232 0.436536 0.048504 
8.391191 2.716224 0.436536 0.048504 
8.391191 4.122840 0.436536 0.048504 
8.488199 3.977328 0.436536 0.048504 
8.682215 3.977328 0.436536 0.048504 
4.219848 2.328192 0.485040 0.084011 
4.801895 2.182680 0.485040 0.048504 
4.801895 3.007248 0.485040 0.048504 
4.850399 2.764728 0.485040 0.068595 
4.850399 3.104256 0.485040 0.048504 
4.898903 2.667720 0.485040 0.084011 
4.947407 2.619216 0.485040 0.097008 
5.141423 1.552128 0.485040 0.068595 
5.141423 2.328192 0.485040 0.048504 
5.189927 1.746144 0.485040 0.068595 
5.189927 2.279688 0.485040 0.068595 
5.189927 2.376696 0.485040 0.048504 
5.238431 2.425200 0.485040 0.048504 
5.335439 2.522208 0.485040 0.068595 
5.480951 1.746144 0.485040 0.068595 
5.480951 3.201264 0.485040 0.068595 
5.480951 3.249768 0.485040 0.048504 
5.480951 3.298272 0.485040 0.048504 
5.480951 3.395280 0.485040 0.048504 
5.529455 2.958744 0.485040 0.048504 
5.674967 4.316856 0.485040 0.068595 
5.771975 2.473704 0.485040 0.048504 
5.868983 2.473704 0.485040 0.048504 
5.868983 4.413864 0.485040 0.048504 
5.965991 3.880320 0.485040 0.048504 
6.014495 3.589296 0.485040 0.048504 
6.062999 3.589296 0.485040 0.048504 
6.111503 2.522208 0.485040 0.048504 
6.160007 2.134176 0.485040 0.084011 
6.499535 3.540792 0.485040 0.048504 
6.548039 3.540792 0.485040 0.048504 
6.645047 3.346776 0.485040 0.048504 
6.645047 3.443784 0.485040 0.048504 
6.839063 2.958744 0.485040 0.068595 
6.887567 4.559376 0.485040 0.048504 
7.178591 1.649136 0.485040 0.048504 
7.178591 2.667720 0.485040 0.068595 
7.469615 5.044415 0.485040 0.108458 
7.566623 4.219848 0.485040 0.048504 
8.003159 2.619216 0.485040 0.048504 
8.148671 1.406616 0.485040 0.048504 
8.245679 2.425200 0.485040 0.068595 
8.245679 2.958744 0.485040 0.048504 
8.294183 2.861736 0.485040 0.048504 
8.294183 2.910240 0.485040 0.048504 
8.294183 4.122840 0.485040 0.068595 
8.342687 4.122840 0.485040 0.048504 
8.439695 2.716224 0.485040 0.068595 
8.682215 3.977328 0.485040 0.048504 
4.219848 2.328192 0.533544 0.097008 
4.753392 2.958744 0.533544 0.048504 
4.801895 2.182680 0.533544 0.048504 
4.801895 2.813232 0.533544 0.068595 
4.850399 3.055752 0.533544 0.048504 
4.947407 2.570712 0.533544 0.108458 
4.995911 2.522208 0.533544 0.108458 
5.044415 2.425200 0.533544 0.108458 
5.044415 2.473704 0.533544 0.097008 
5.092919 1.503624 0.533544 0.048504 
5.092919 2.328192 0.533544 0.097008 
5.092919 2.376696 0.533544 0.097008 
5.189927 1.600632 0.533544 0.097008 
5.238431 1.649136 0.533544 0.097008 
5.238431 1.697640 0.533544 0.097008 
5.335439 2.570712 0.533544 0.068595 
5.480951 2.910240 0.533544 0.048504 
5.480951 3.201264 0.533544 0.048504 
5.480951 3.346776 0.533544 0.084011 
5.480951 3.637800 0.533544 0.048504 
5.480951 3.686304 0.533544 0.068595 
5.529455 1.697640 0.533544 0.048504 
5.723471 4.316856 0.533544 0.048504 
5.771975 2.522208 0.533544 0.048504 
5.917487 2.425200 0.533544 0.048504 
5.965991 3.928824 0.533544 0.048504 
6.111503 2.522208 0.533544 0.048504 
6.160007 2.134176 0.533544 0.068595 
6.160007 3.928824 0.533544 0.048504 
6.451031 3.540792 0.533544 0.048504 
6.645047 3.346776 0.533544 0.048504 
6.645047 3.492288 0.533544 0.048504 
6.887567 2.958744 0.533544 0.068595 
6.984575 3.395280 0.533544 0.048504 
7.178591 2.667720 0.533544 0.068595 
7.227095 1.600632 0.533544 0.048504 
7.275599 4.074336 0.533544 0.048504 
7.469615 5.044415 0.533544 0.108458 
7.566623 4.219848 0.533544 0.048504 
8.294183 2.425200 0.533544 0.048504 
8.294183 4.122840 0.533544 0.068595 
8.391191 4.510872 0.533544 0.048504 
8.488199 2.716224 0.533544 0.048504 
8.682215 4.025832 0.533544 0.048504 
4.219848 2.328192 0.582048 0.084011 
4.607880 3.443784 0.582048 0.048504 
4.704888 2.910240 0.582048 0.068595 
4.753392 2.861736 0.582048 0.068595 
4.801895 2.182680 0.582048 0.048504 
4.801895 2.813232 0.582048 0.048504 
4.947407 2.570712 0.582048 0.068595 
5.044415 1.503624 0.582048 0.048504 
5.092919 2.279688 0.582048 0.118810 
5.286935 1.697640 0.582048 0.097008 
5.335439 2.619216 0.582048 0.068595 
5.383943 4.656384 0.582048 0.068595 
5.480951 1.649136 0.582048 0.068595 
5.480951 2.910240 0.582048 0.048504 
5.480951 3.395280 0.582048 0.068595 
5.480951 3.443784 0.582048 0.048504 
5.480951 3.492288 0.582048 0.068595 
5.480951 3.540792 0.582048 0.068595 
5.480951 3.589296 0.582048 0.084011 
5.480951 3.734808 0.582048 0.068595 
5.480951 3.783312 0.582048 0.068595 
5.529455 3.152760 0.582048 0.048504 
5.820479 2.522208 0.582048 0.048504 
5.917487 2.425200 0.582048 0.048504 
5.965991 3.928824 0.582048 0.048504 
6.014495 5.044415 0.582048 0.048504 
6.062999 5.092919 0.582048 0.048504 
6.111503 5.092919 0.582048 0.048504 
6.160007 3.928824 0.582048 0.048504 
6.160007 5.141423 0.582048 0.048504 
6.208511 2.134176 0.582048 0.068595 
6.451031 2.328192 0.582048 0.048504 
6.451031 3.540792 0.582048 0.048504 
6.693551 3.395280 0.582048 0.048504 
6.693551 3.443784 0.582048 0.048504 
6.887567 2.958744 0.582048 0.068595 
6.936071 3.395280 0.582048 0.048504 
7.227095 1.600632 0.582048 0.048504 
7.227095 2.716224 0.582048 0.048504 
7.469615 5.044415 0.582048 0.108458 
7.566623 4.268352 0.582048 0.068595 
7.857647 4.850399 0.582048 0.048504 
8.342687 2.473704 0.582048 0.048504 
8.342687 4.171344 0.582048 0.048504 
8.488199 2.716224 0.582048 0.068595 
8.682215 4.074336 0.582048 0.048504 
4.074336 3.346776 0.630552 0.048504 
4.219848 2.279688 0.630552 0.068595 
4.656384 2.958744 0.630552 0.048504 
4.850399 2.813232 0.630552 0.048504 
4.995911 2.619216 0.630552 0.048504 
5.044415 2.085672 0.630552 0.048504 
5.092919 1.552128 0.630552 0.048504 
5.092919 2.134176 0.630552 0.068595 
5.092919 2.182680 0.630552 0.108458 
5.092919 2.231184 0.630552 0.118810 
5.238431 1.649136 0.630552 0.068595 
5.286935 1.697640 0.630552 0.097008 
5.335439 2.667720 0.630552 0.068595 
5.432447 4.704888 0.630552 0.068595 
5.480951 1.600632 0.630552 0.068595 
5.480951 2.910240 0.630552 0.048504 
5.480951 3.395280 0.630552 0.068595 
5.480951 3.831816 0.630552 0.068595 
5.529455 3.152760 0.630552 0.048504 
5.820479 2.570712 0.630552 0.048504 
5.820479 5.044415 0.630552 0.048504 
5.917487 2.425200 0.630552 0.048504 
5.965991 3.880320 0.630552 0.068595 
6.111503 3.928824 0.630552 0.048504 
6.160007 3.928824 0.630552 0.048504 
6.208511 2.134176 0.630552 0.068595 
6.305519 3.977328 0.630552 0.048504 
6.451031 3.540792 0.630552 0.048504 
6.693551 3.395280 0.630552 0.048504 
6.887567 3.007248 0.630552 0.084011 
6.936071 3.395280 0.630552 0.048504 
7.081583 3.249768 0.630552 0.048504 
7.130087 3.298272 0.630552 0.048504 
7.178591 3.298272 0.630552 0.048504 
7.227095 2.667720 0.630552 0.048504 
7.227095 3.298272 0.630552 0.048504 
7.275599 1.552128 0.630552 0.048504 
7.324103 2.619216 0.630552 0.048504 
7.421111 5.044415 0.630552 0.084011 
7.518119 5.044415 0.630552 0.097008 
7.615127 4.316856 0.630552 0.048504 
7.906151 4.850399 0.630552 0.048504 
8.245679 3.055752 0.630552 0.048504 
8.342687 4.219848 0.630552 0.068595 
8.391191 2.473704 0.630552 0.048504 
8.536703 2.764728 0.630552 0.048504 
8.633711 4.171344 0.630552 0.048504 
8.633711 4.219848 0.630552 0.048504 
8.682215 4.122840 0.630552 0.048504 
8.730719 4.025832 0.630552 0.048504 
4.219848 2.279688 0.679056 0.068595 
4.607880 3.007248 0.679056 0.048504 
4.704888 2.958744 0.679056 0.048504 
4.801895 2.279688 0.679056 0.068595 
4.898903 2.182680 0.679056 0.048504 
4.898903 2.764728 0.679056 0.048504 
4.947407 2.182680 0.679056 0.048504 
4.947407 2.716224 0.679056 0.048504 
4.995911 2.134176 0.679056 0.068595 
4.995911 2.667720 0.679056 0.048504 
5.092919 1.552128 0.679056 0.068595 
5.141423 2.037168 0.679056 0.097008 
5.141423 2.085672 0.679056 0.097008 
5.141423 2.279688 0.679056 0.097008 
5.189927 1.600632 0.679056 0.048504 
5.238431 1.746144 0.679056 0.108458 
5.335439 2.716224 0.679056 0.084011 
5.432447 1.309608 0.679056 0.048504 
5.480951 1.309608 0.679056 0.048504 
5.480951 1.552128 0.679056 0.048504 
5.480951 4.753392 0.679056 0.048504 
5.480951 4.801895 0.679056 0.048504 
5.529455 2.910240 0.679056 0.048504 
5.529455 3.152760 0.679056 0.048504 
5.529455 3.346776 0.679056 0.068595 
5.529455 3.880320 0.679056 0.068595 
5.723471 4.995911 0.679056 0.048504 
5.771975 4.995911 0.679056 0.048504 
5.820479 2.570712 0.679056 0.048504 
5.917487 2.425200 0.679056 0.048504 
6.014495 3.880320 0.679056 0.068595 
6.062999 3.928824 0.679056 0.048504 
6.111503 1.697640 0.679056 0.048504 
6.208511 2.134176 0.679056 0.068595 
6.208511 3.928824 0.679056 0.048504 
6.305519 3.977328 0.679056 0.048504 
6.499535 3.492288 0.679056 0.048504 
6.693551 5.480951 0.679056 0.048504 
6.742055 3.346776 0.679056 0.048504 
6.887567 3.007248 0.679056 0.097008 
6.936071 3.395280 0.679056 0.048504 
7.227095 2.667720 0.679056 0.048504 
7.275599 1.552128 0.679056 0.048504 
7.324103 2.667720 0.679056 0.048504 
7.324103 5.141423 0.679056 0.068595 
7.372607 2.328192 0.679056 0.048504 
7.372607 5.092919 0.679056 0.048504 
7.518119 5.141423 0.679056 0.048504 
7.566623 5.092919 0.679056 0.084011 
7.566623 5.189927 0.679056 0.048504 
7.615127 4.316856 0.679056 0.048504 
7.906151 4.850399 0.679056 0.048504 
8.245679 3.055752 0.679056 0.048504 
8.342687 4.219848 0.679056 0.068595 
8.391191 2.473704 0.679056 0.048504 
8.536703 2.716224 0.679056 0.048504 
8.536703 4.365360 0.679056 0.048504 
8.585207 4.268352 0.679056 0.048504 
8.585207 4.316856 0.679056 0.048504 
8.730719 4.025832 0.679056 0.048504 
4.171344 2.279688 0.727560 0.084011 
4.559376 3.055752 0.727560 0.068595 
4.559376 3.104256 0.727560 0.048504 
4.704888 2.910240 0.727560 0.048504 
4.753392 2.861736 0.727560 0.048504 
4.850399 2.231184 0.727560 0.084011 
4.898903 2.813232 0.727560 0.048504 
5.044415 2.716224 0.727560 0.048504 
5.141423 1.309608 0.727560 0.048504 
5.141423 1.552128 0.727560 0.097008 
5.141423 2.328192 0.727560 0.068595 
5.141423 2.376696 0.727560 0.068595 
5.189927 1.309608 0.727560 0.048504 
5.189927 1.988664 0.727560 0.097008 
5.238431 1.309608 0.727560 0.048504 
5.238431 1.600632 0.727560 0.048504 
5.238431 1.891656 0.727560 0.097008 
5.238431 1.940160 0.727560 0.097008 
5.286935 1.261104 0.727560 0.048504 
5.286935 1.794648 0.727560 0.097008 
5.286935 1.843152 0.727560 0.097008 
5.335439 1.261104 0.727560 0.048504 
5.335439 1.552128 0.727560 0.048504 
5.335439 2.716224 0.727560 0.068595 
5.383943 1.309608 0.727560 0.048504 
5.383943 1.552128 0.727560 0.048504 
5.432447 1.552128 0.727560 0.068595 
5.480951 4.850399 0.727560 0.068595 
5.529455 2.910240 0.727560 0.048504 
5.529455 3.152760 0.727560 0.048504 
5.529455 3.346776 0.727560 0.048504 
5.529455 3.928824 0.727560 0.068595 
5.529455 4.704888 0.727560 0.048504 
5.674967 4.995911 0.727560 0.048504 
5.868983 2.570712 0.727560 0.048504 
6.111503 3.880320 0.727560 0.048504 
6.208511 2.134176 0.727560 0.068595 
6.208511 3.928824 0.727560 0.048504 
6.305519 3.977328 0.727560 0.048504 
6.742055 3.346776 0.727560 0.068595 
6.887567 3.007248 0.727560 0.084011 
6.936071 3.395280 0.727560 0.048504 
7.275599 2.667720 0.727560 0.048504 
7.275599 5.189927 0.727560 0.097008 
7.469615 5.189927 0.727560 0.048504 
7.518119 5.238431 0.727560 0.048504 
7.566623 5.141423 0.727560 0.048504 
7.615127 4.316856 0.727560 0.048504 
7.615127 5.044415 0.727560 0.097008 
7.954655 4.850399 0.727560 0.048504 
8.342687 4.268352 0.727560 0.068595 
8.439695 2.473704 0.727560 0.048504 
8.536703 4.413864 0.727560 0.048504 
8.585207 2.764728 0.727560 0.048504 
4.171344 2.279688 0.776064 0.097008 
4.559376 3.152760 0.776064 0.048504 
4.850399 2.279688 0.776064 0.068595 
4.850399 2.910240 0.776064 0.048504 
4.850399 2.958744 0.776064 0.048504 
4.898903 2.861736 0.776064 0.048504 
5.044415 1.358112 0.776064 0.068595 
5.044415 1.406616 0.776064 0.048504 
5.044415 2.473704 0.776064 0.068595 
5.044415 2.667720 0.776064 0.048504 
5.092919 1.309608 0.776064 0.048504 
5.092919 1.552128 0.776064 0.097008 
5.092919 2.425200 0.776064 0.048504 
5.286935 1.552128 0.776064 0.048504 
5.286935 1.940160 0.776064 0.097008 
5.335439 2.764728 0.776064 0.068595 
5.480951 2.861736 0.776064 0.048504 
5.480951 4.850399 0.776064 0.068595 
5.529455 3.104256 0.776064 0.048504 
5.529455 3.928824 0.776064 0.048504 
5.529455 4.704888 0.776064 0.048504 
5.577959 3.346776 0.776064 0.048504 
5.868983 2.570712 0.776064 0.048504 
6.160007 3.880320 0.776064 0.048504 
6.208511 2.182680 0.776064 0.068595 
6.257015 3.928824 0.776064 0.048504 
6.790559 3.346776 0.776064 0.048504 
6.936071 3.007248 0.776064 0.084011 
7.324103 2.667720 0.776064 0.068595 
7.324103 5.238431 0.776064 0.145512 
7.469615 5.238431 0.776064 0.084011 
7.518119 5.189927 0.776064 0.048504 
7.615127 4.316856 0.776064 0.068595 
7.615127 5.044415 0.776064 0.084011 
7.663631 5.044415 0.776064 0.097008 
8.003159 4.850399 0.776064 0.048504 
8.342687 4.268352 0.776064 0.068595 
8.488199 2.522208 0.776064 0.048504 
8.585207 2.716224 0.776064 0.068595 
4.171344 2.279688 0.824568 0.097008 
4.268352 3.492288 0.824568 0.048504 
4.607880 3.201264 0.824568 0.048504 
4.607880 3.249768 0.824568 0.048504 
4.801895 2.328192 0.824568 0.068595 
4.995911 1.455120 0.824568 0.068595 
5.044415 1.503624 0.824568 0.108458 
5.044415 2.522208 0.824568 0.068595 
5.044415 2.570712 0.824568 0.068595 
5.044415 2.619216 0.824568 0.048504 
5.141423 3.104256 0.824568 0.048504 
5.286935 1.940160 0.824568 0.097008 
5.383943 2.813232 0.824568 0.068595 
5.480951 2.861736 0.824568 0.068595 
5.480951 4.898903 0.824568 0.068595 
5.529455 3.104256 0.824568 0.068595 
5.529455 3.928824 0.824568 0.048504 
5.529455 4.704888 0.824568 0.048504 
5.626463 3.346776 0.824568 0.048504 
5.868983 2.570712 0.824568 0.048504 
6.111503 3.880320 0.824568 0.084011 
6.208511 2.182680 0.824568 0.068595 
6.451031 2.182680 0.824568 0.048504 
6.742055 3.346776 0.824568 0.048504 
6.936071 3.007248 0.824568 0.097008 
7.372607 2.425200 0.824568 0.048504 
7.372607 2.619216 0.824568 0.068595 
